City_Name,Total_Population,White_Alone,Black_or_African_American,Asian,Hispanic_or_Latino,Median_Household_Income,State_FIPS,Place_Code,Percentage_White
Lee CDP,1717,1484,18,4,37,55686,25,34620,86.42981945253348
North Adams city,12959,11499,221,133,850,41471,25,46225,88.73369858785401
Pittsfield city,42766,37133,1905,860,2891,51411,25,53960,86.82832156385915
Athol CDP,8617,7874,98,26,557,49653,25,02515,91.37750957409772
Boxford CDP,2585,2415,0,75,40,192417,25,07385,93.42359767891682
Gloucester city,30162,28236,502,587,737,72574,25,26150,93.61448179828923
Saugus CDP,28215,25591,594,1065,2439,88667,25,60050,90.69998227892965
Northborough CDP,6298,5550,98,433,201,114303,25,46785,88.12321371864084
Rutland CDP,2360,2306,0,54,64,84833,25,58790,97.71186440677965
Westborough CDP,3957,3587,44,205,235,87557,25,75050,90.64948193075563
West Brookfield CDP,1479,1445,0,0,22,51680,25,75365,97.70114942528735
Green Harbor-Cedar Crest CDP,2703,2703,0,0,0,111250,25,27147,100.0
North Lakeville CDP,3114,2712,202,19,122,75509,25,48220,87.09055876685935
North Scituate CDP,5044,4948,7,41,1,108676,25,49165,98.09674861221252
Ocean Bluff-Brant Rock CDP,5199,5081,61,0,73,83101,25,50862,97.73033275629929
Scituate CDP,5558,5348,0,0,41,140419,25,60295,96.22166246851386
Ocean Grove CDP,3092,2952,5,74,31,67861,25,50880,95.47218628719276
East Pepperell CDP,1811,1746,34,11,66,74821,25,20310,96.41082274986196
Medford city,57637,43294,5324,5707,3729,96455,25,39835,75.11494352586013
Falmouth CDP,3540,3096,92,58,110,41343,25,23070,87.45762711864407
West Dennis CDP,2236,2070,123,8,63,67469,25,75820,92.57602862254025
Yarmouth Port CDP,5242,5201,8,0,93,74737,25,82595,99.21785578023655
Boston city,684379,361455,172651,66207,135757,71115,25,07000,52.81503377514506
Hopkinton CDP,3098,2852,36,88,147,112014,25,31050,92.0593931568754
Shirley CDP,1861,1725,24,15,0,65507,25,61555,92.69210102095647
Somerville city,80906,61296,4985,8303,9995,97328,25,62535,75.76199540207153
Waltham city,62777,45146,4450,7321,8536,95964,25,72600,71.91487328161588
Woburn city,40304,32119,2397,3555,1839,91022,25,81035,79.69184200079397
Holyoke city,40241,35218,1826,274,21704,40769,25,30840,87.51770582241993
Townsend CDP,1310,1250,21,38,85,72500,25,70325,95.41984732824427
Hudson CDP,15346,14413,207,442,1081,82431,25,31575,93.92023980190277
Littleton Common CDP,3293,3027,4,135,52,107907,25,36020,91.92225933798967
Reading CDP,25132,23300,107,1112,761,132731,25,56165,92.71048862008595
East Brookfield CDP,1037,1009,0,0,34,74821,25,18595,97.29990356798457
Fiskdale CDP,3087,2970,1,115,82,70952,25,23840,96.20991253644316
Oxford CDP,5595,5166,23,82,262,61227,25,51790,92.33243967828419
Mashpee Neck CDP,1386,1218,6,106,29,114904,25,39152,87.87878787878788
North Falmouth CDP,2516,2497,4,0,1,96404,25,47730,99.24483306836248
Woods Hole CDP,816,781,0,0,0,97569,25,81245,95.7107843137255
Millers Falls CDP,1284,1262,3,0,6,57917,25,41410,98.28660436137072
Turners Falls CDP,4010,3461,99,0,331,38899,25,70815,86.30922693266832
Chicopee city,55421,47556,2856,1306,11620,53225,25,13660,85.80862849822269
Springfield city,154139,97614,32278,4157,69301,39432,25,67000,63.328554097275834
Teaticket CDP,1697,1592,50,0,92,64028,25,69205,93.81261048909842
Smith Mills CDP,4678,4467,64,29,6,70692,25,62300,95.48952543822146
Dedham CDP,25283,21314,2084,689,2209,100757,25,16530,84.3017047027647
Orleans CDP,1798,1553,207,0,63,54750,25,51405,86.37374860956618
Wilbraham CDP,3466,3368,52,10,235,111100,25,79705,97.17253317945759
Brookline CDP,59180,42598,1923,10258,4012,117326,25,09210,71.98039878337276
Groton CDP,1345,1098,10,113,28,65303,25,27445,81.635687732342
Williamstown CDP,4506,3516,266,383,409,82917,25,79950,78.02929427430094
Salem city,43252,34176,2855,1085,7710,68808,25,59105,79.01599926014981
Winchester CDP,22738,18399,64,3323,481,169623,25,80545,80.91740698390359
Hull CDP,10455,10043,51,104,182,88476,25,31680,96.05930176948829
Dennis Port CDP,3428,2952,383,13,151,55256,25,16810,86.11435239206534
Northwest Harwich CDP,4136,3782,67,37,171,74208,25,49700,91.44100580270793
Foxborough CDP,6296,5097,701,215,408,70530,25,24855,80.9561626429479
South Yarmouth CDP,11091,10007,326,301,244,61088,25,66035,90.22630962041295
Pepperell CDP,2826,2598,62,26,104,81675,25,52770,91.93205944798302
Framingham city,72308,50254,5288,5698,11648,82709,25,24960,69.4999170216297
Agawam Town city,28696,26814,624,559,1544,68944,25,00840,93.44159464733761
Amesbury Town city,17434,16759,99,189,436,82468,25,01260,96.1282551336469
Braintree Town city,37220,30013,1103,5149,777,96522,25,07740,80.63675443310049
Blandford CDP,278,274,0,0,0,87500,25,06050,98.56115107913669
Brookfield CDP,690,628,10,28,0,64063,25,09070,91.01449275362319
Chester CDP,787,777,4,0,4,65250,25,13450,98.72935196950444
Cheshire CDP,539,531,0,0,0,79107,25,13310,98.51576994434137
Devens CDP,1969,1216,368,214,276,92426,25,16840,61.75723717623159
Easthampton Town city,15960,14734,300,247,723,63507,25,19370,92.31829573934837
Franklin Town city,33256,30130,305,1915,531,122607,25,25172,90.60019244647583
Deerfield CDP,621,378,143,4,59,-666666666,25,16635,60.86956521739131
Greenfield Town city,17375,15733,391,227,1331,50478,25,27100,90.54964028776979
Huntington CDP,634,603,0,0,13,52500,25,31750,95.11041009463722
