POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,SHAPE_AREA,SHAPE_LEN
01906,SAUGUS,NON UNIQUE,SAUGUS,60050,"SAUGUS, TOWN OF",ESSEX,11.28832437,29236625.8988,41973.5980243
01504,BLACKSTONE,NON UNIQUE,BLACKSTONE,05980,"BLACKSTONE, TOWN OF",WORCESTER,11.21206507,29039115.2308,26871.5639985
02090,WESTWOOD,NON UNIQUE,WESTWOOD,78655,"WESTWOOD, TOWN OF",NORFOLK,11.05434808,28630630.0785,29422.8768267
02715,DIGHTON,NON UNIQUE,DIGHTON,16915,"DIGHTON, TOWN OF",BRISTOL,10.98465124,28450116.0915,36430.6412345
01719,BOXBOROUGH,NON UNIQUE,BOXBOROUGH,07350,"BOXBOROUGH, TOWN OF",MIDDLESEX,10.61615492,27495715.0081,23545.2852675
02745,NEW BEDFORD,NON UNIQUE,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,10.60601987,27469465.3515,30102.5031697
01940,LYNNFIELD,NON UNIQUE,LYNNFIELD,37595,"LYNNFIELD, TOWN OF",ESSEX,10.43136675,27017115.8663,26336.6242908
02025,COHASSET,NON UNIQUE,COHASSET,14605,"COHASSET, TOWN OF",NORFOLK,10.3688627,26855231.1007,29771.9020517
01515,EAST BROOKFIELD,NON UNIQUE,EAST BROOKFIELD,18595,"EAST BROOKFIELD, TOWN OF",WORCESTER,10.31354603,26711961.5888,25833.516404
01832,HAVERHILL,NON UNIQUE,HAVERHILL,29405,HAVERHILL,ESSEX,11.76249056,30464710.6925,26651.8683566
01235,HINSDALE,NON UNIQUE,HINSDALE,30280,"MIDDLEFIELD, TOWN OF",HAMPSHIRE,11.74628896,30422748.7354,27798.8544659
01474,WEST TOWNSEND,NON UNIQUE,WEST TOWNSEND,78270,"TOWNSEND, TOWN OF",MIDDLESEX,11.64623894,30163620.3753,26079.906704
02188,WEYMOUTH,NON UNIQUE,WEYMOUTH,78900,"WEYMOUTH, TOWN OF",NORFOLK,3.8104665,9885513.27503,21776.9115233
01702,FRAMINGHAM,NON UNIQUE,FRAMINGHAM,24960,"FRAMINGHAM, TOWN OF",MIDDLESEX,8.80651831,22808777.7007,24515.950665
02675,YARMOUTH PORT,NON UNIQUE,YARMOUTH PORT,82595,"YARMOUTH, TOWN OF",BARNSTABLE,8.78231514,22746091.7918,33631.2078344
01922,BYFIELD,NON UNIQUE,BYFIELD,10050,"NEWBURY, TOWN OF",ESSEX,8.73352059,22619714.4824,41952.2448025
01860,MERRIMAC,NON UNIQUE,MERRIMAC,40395,"MERRIMAC, TOWN OF",ESSEX,8.7044458,22544411.1197,19677.3072793
02155,MEDFORD,NON UNIQUE,MEDFORD,39835,MEDFORD,MIDDLESEX,8.51783356,22061087.6421,36044.8872208
02632,CENTERVILLE,NON UNIQUE,CENTERVILLE,12085,BARNSTABLE,BARNSTABLE,8.39696372,21748036.192,35627.4294441
01841,LAWRENCE,NON UNIQUE,LAWRENCE,34550,LAWRENCE,ESSEX,3.10779573,8049153.98314,15524.8064415
01907,SWAMPSCOTT,NON UNIQUE,SWAMPSCOTT,68680,"SWAMPSCOTT, TOWN OF",ESSEX,3.06397446,7935657.4155,14600.1978648
02639,DENNIS PORT,NON UNIQUE,DENNIS PORT,16810,"DENNIS, TOWN OF",BARNSTABLE,3.0293891,7846081.74071,13757.7012467
02045,HULL,NON UNIQUE,HULL,31680,"HULL, TOWN OF",PLYMOUTH,3.02647591,7838536.60952,54102.7236327
02191,NORTH WEYMOUTH,NON UNIQUE,NORTH WEYMOUTH,49725,"WEYMOUTH, TOWN OF",NORFOLK,2.03917083,5281428.21669,23893.1828695
02543,WOODS HOLE,NON UNIQUE,WOODS HOLE,81245,"FALMOUTH, TOWN OF",BARNSTABLE,1.73524928,4494274.99286,20469.3015317
01010,BRIMFIELD,NON UNIQUE,BRIMFIELD,08435,"WARREN, TOWN OF",WORCESTER,1.70752188,4422461.37003,11868.5953109
02657,PROVINCETOWN,NON UNIQUE,PROVINCETOWN,55535,"PROVINCETOWN, TOWN OF",BARNSTABLE,10.02240784,25957917.1482,48341.6238516
01867,READING,NON UNIQUE,READING,56165,"READING, TOWN OF",MIDDLESEX,10.01470192,25937958.893,22266.3855647
02648,MARSTONS MILLS,NON UNIQUE,MARSTONS MILLS,38995,BARNSTABLE,BARNSTABLE,9.17362222,23759572.4692,28160.7446537
02601,HYANNIS,NON UNIQUE,HYANNIS,31820,BARNSTABLE,BARNSTABLE,9.16580994,23739338.7575,31496.1386735
01096,WILLIAMSBURG,NON UNIQUE,WILLIAMSBURG,79880,"ASHFIELD, TOWN OF",FRANKLIN,9.10332183,23577495.3091,32007.6768368
01862,NORTH BILLERICA,NON UNIQUE,NORTH BILLERICA,46680,"BILLERICA, TOWN OF",MIDDLESEX,9.02691277,23379596.7376,42476.4177572
01082,WARE,NON UNIQUE,WARE,72845,"HARDWICK, TOWN OF",WORCESTER,9.02286976,23369125.3932,31994.296404
01236,HOUSATONIC,NON UNIQUE,HOUSATONIC,31295,"GREAT BARRINGTON, TOWN OF",BERKSHIRE,8.32821353,21569974.0167,25970.3841381
01950,NEWBURYPORT,NON UNIQUE,NEWBURYPORT,45245,NEWBURYPORT,ESSEX,8.18952564,21210774.0424,31700.9078615
02130,JAMAICA PLAIN,NON UNIQUE,JAMAICA PLAIN,32520,BOSTON,SUFFOLK,3.88185899,10485227.2227,19861.956334
01588,WHITINSVILLE,NON UNIQUE,WHITINSVILLE,79495,"NORTHBRIDGE, TOWN OF",WORCESTER,8.06639019,20891854.6918,30234.1570039
01944,MANCHESTER,NON UNIQUE,MANCHESTER,37980,"MANCHESTER BY THE SEA, TOWN OF",ESSEX,7.95022406,20590985.7855,34151.6349935
01347,LAKE PLEASANT,PO BOX,LAKE PLEASANT,33640,"MONTAGUE, TOWN OF",FRANKLIN,0.00887988,22998.7717453,865.853114057
02136,HYDE PARK,NON UNIQUE,HYDE PARK,31960,"MILTON, TOWN OF",NORFOLK,0.00589713,9534.36414031,525.678223716
