POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,SHAPE_AREA,SHAPE_LEN
01438,EAST TEMPLETON,PO BOX,EAST TEMPLETON,20590,"TEMPLETON, TOWN OF",WORCESTER,0.0500023,129505.374462,1511.52129154
02672,WEST HYANNISPORT,PO BOX,WEST HYANNISPORT,76590,BARNSTABLE,BARNSTABLE,0.04693204,121553.435692,1872.44482666
02144,SOMERVILLE,NON UNIQUE,SOMERVILLE,62535,SOMERVILLE,MIDDLESEX,1.17562354,3044850.99275,11518.6001535
02140,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,1.15594951,2993895.48659,10114.3029705
02121,DORCHESTER,NON UNIQUE,DORCHESTER,17090,BOSTON,SUFFOLK,1.12853663,2866822.85358,10038.9812639
02118,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,1.1211804,2792216.29391,10261.1610974
01128,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,1.10318163,2857227.31216,8862.6077875
01009,BONDSVILLE,PO BOX,BONDSVILLE,06400,"PALMER, TOWN OF",HAMPDEN,0.04152232,107542.309881,3400.24115872
01063,SMITH COLLEGE,UNIQUE ORGANIZATION,NORTHAMPTON,46330,NORTHAMPTON,HAMPSHIRE,0.03725573,96491.8928166,1465.92933866
01561,SOUTH LANCASTER,PO BOX,SOUTH LANCASTER,64460,"LANCASTER, TOWN OF",WORCESTER,0.0359069,92998.431767,1286.62761538
02151,REVERE,NON UNIQUE,REVERE,56585,EVERETT,MIDDLESEX,0.0341638,88483.8286219,1482.17396902
02047,HUMAROCK,PO BOX,HUMAROCK,31715,"SCITUATE, TOWN OF",PLYMOUTH,0.03041975,78786.7818651,1358.70869581
02746,NEW BEDFORD,NON UNIQUE,NEW BEDFORD,45000,NEW BEDFORD,BRISTOL,2.09587378,5428288.16156,15464.4361117
01908,NAHANT,NON UNIQUE,NAHANT,43615,"NAHANT, TOWN OF",ESSEX,1.09572321,2837910.08555,18911.8427856
02791,WESTPORT POINT,PO BOX,WESTPORT POINT,77640,"WESTPORT, TOWN OF",BRISTOL,1.01417631,2626704.57627,19623.6960653
02641,EAST DENNIS,PO BOX,EAST DENNIS,18840,"DENNIS, TOWN OF",BARNSTABLE,0.97234354,2518358.19928,9696.79391352
02671,WEST HARWICH,NON UNIQUE,WEST HARWICH,76450,HARWICH,BARNSTABLE,2.08610932,5402998.32291,21716.2574743
02467,CHESTNUT HILL,NON UNIQUE,CHESTNUT HILL,13625,NEWTON,MIDDLESEX,1.62133133,4167338.33143,14523.6814743
02139,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,1.53884743,3986752.00508,8896.15997891
02071,SOUTH WALPOLE,NON UNIQUE,SOUTH WALPOLE,65545,"WALPOLE, TOWN OF",NORFOLK,0.96857856,2508606.96132,9576.40015829
01070,PLAINFIELD,NON UNIQUE,PLAINFIELD,53995,"WINDSOR, TOWN OF",BERKSHIRE,0.95620559,2476561.11976,8551.29284286
01965,PRIDES CROSSING,PO BOX,PRIDES CROSSING,55325,BEVERLY,ESSEX,0.93371211,2418303.27054,9462.51221252
02210,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.90267044,2335486.56311,14807.7893111
02647,HYANNIS PORT,PO BOX,HYANNIS PORT,31890,BARNSTABLE,BARNSTABLE,0.84202441,2180833.19945,14249.0676975
02468,WABAN,NON UNIQUE,WABAN,72075,NEWTON,MIDDLESEX,1.49887466,3882067.54131,11514.626247
01107,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,1.4986343,3881445.02572,10376.7186764
01355,NEW SALEM,NON UNIQUE,NEW SALEM,45455,"NEW SALEM, TOWN OF",FRANKLIN,56.92362861,147431521.283,79996.673851
02347,LAKEVILLE,NON UNIQUE,LAKEVILLE,33885,"LAKEVILLE, TOWN OF",PLYMOUTH,36.14788827,93622600.8304,47503.609658
01069,PALMER,NON UNIQUE,PALMER,52070,"PALMER, TOWN OF",HAMPDEN,31.2085051,80829657.1468,58736.0625153
01093,WHATELY,PO BOX,WHATELY,79075,"WHATELY, TOWN OF",FRANKLIN,1.53051749,3964022.08887,13897.7195484
02170,QUINCY,NON UNIQUE,QUINCY,55745,QUINCY,NORFOLK,2.0251918,5245222.69245,16092.743256
01031,GILBERTVILLE,NON UNIQUE,GILBERTVILLE,25695,"HARDWICK, TOWN OF",WORCESTER,7.22382569,18709622.6413,30929.4613902
01441,TYCO,UNIQUE ORGANIZATION,WESTMINSTER,76975,"WESTMINSTER, TOWN OF",WORCESTER,0.49357989,1278366.04538,6867.23982897
01260,SOUTH LEE,PO BOX,SOUTH LEE,64530,"LEE, TOWN OF",BERKSHIRE,0.48685094,1260938.1568,4615.61812501
01840,LAWRENCE,NON UNIQUE,LAWRENCE,34550,LAWRENCE,ESSEX,0.48676949,1260727.2025,5668.45516438
02116,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.7936883,1962612.00979,11270.5808345
02115,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.77488959,1993262.29881,12677.5947517
02215,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.73594322,2055354.47229,12979.4286792
02464,NEWTON UPPER FALLS,NON UNIQUE,NEWTON UPPER FALLS,45700,NEWTON,MIDDLESEX,0.48348335,1252216.12212,4882.75955795
02558,ONSET,PO BOX,ONSET,51160,"WAREHAM, TOWN OF",PLYMOUTH,0.46457327,1203239.25429,7197.10463614
01608,WORCESTER,NON UNIQUE,WORCESTER,82000,WORCESTER,WORCESTER,0.44601513,1155173.88852,8278.86512111
02143,SOMERVILLE,NON UNIQUE,SOMERVILLE,62535,SOMERVILLE,MIDDLESEX,1.49668349,3876392.43148,10257.447499
02637,CUMMAQUID,PO BOX,CUMMAQUID,15970,BARNSTABLE,BARNSTABLE,0.68515272,1774537.3891,9296.1808395
02199,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.7936883,131084.394175,1576.24017177
02133,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.42602022,27147.1631216,739.288957264
02203,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.18992141,31431.749033,898.121200085
02163,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.12133642,523484.690171,4215.85560676
02126,MATTAPAN,NON UNIQUE,MATTAPAN,07000,BOSTON,SUFFOLK,1.91306305,5269728.35821,13852.7749002
02723,FALL RIVER,NON UNIQUE,FALL RIVER,23000,FALL RIVER,BRISTOL,1.84847218,4787520.97994,10099.5783079
02152,WINTHROP,NON UNIQUE,WINTHROP,80965,"WINTHROP, TOWN OF",SUFFOLK,1.79662941,4653248.81794,17191.8031458
02461,NEWTON HIGHLANDS,NON UNIQUE,NEWTON HIGHLANDS,45630,NEWTON,MIDDLESEX,1.38859135,3596435.07977,10640.9229515
02145,SOMERVILLE,NON UNIQUE,SOMERVILLE,62535,SOMERVILLE,MIDDLESEX,1.38051682,3575522.13841,9108.4216043
01850,LOWELL,NON UNIQUE,LOWELL,37000,LOWELL,MIDDLESEX,1.37072858,3550170.73603,7945.97009201
02129,CHARLESTOWN,NON UNIQUE,CHARLESTOWN,12645,BOSTON,SUFFOLK,1.35709143,3513727.44435,18977.4256908
01503,BERLIN,NON UNIQUE,BERLIN,05455,"BERLIN, TOWN OF",WORCESTER,13.16047963,34085485.7736,25901.1042634
02026,DEDHAM,NON UNIQUE,DEDHAM,16530,"DEDHAM, TOWN OF",NORFOLK,10.50881137,27218387.7386,44477.4410723
02114,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.42602022,1100265.88659,7134.35790197
01103,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,0.40808293,1056929.93354,6029.25463281
02142,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,0.31911045,826492.279651,6301.41219537
01901,LYNN,NON UNIQUE,LYNN,37490,LYNN,ESSEX,0.28586272,740381.044668,5993.92972745
02663,SOUTH WELLFLEET,PO BOX,SOUTH WELLFLEET,65650,"WELLFLEET, TOWN OF",BARNSTABLE,0.28517882,738609.745316,4576.66549534
02111,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.28243222,744265.001447,4438.25835514
01066,NORTH HATFIELD,PO BOX,NORTH HATFIELD,48185,"HATFIELD, TOWN OF",HAMPSHIRE,0.21951527,568541.94609,4271.39338672
01094,WHEELWRIGHT,PO BOX,WHEELWRIGHT,79180,"HARDWICK, TOWN OF",WORCESTER,0.21098569,546450.435287,3454.43517148
02532,BUZZARDS BAY,NON UNIQUE,BUZZARDS BAY,10015,"WAREHAM, TOWN OF",PLYMOUTH,2.11024061,5465498.10125,14928.0427426
02134,ALLSTON,NON UNIQUE,ALLSTON,01150,BOSTON,SUFFOLK,1.34527948,3039882.51748,11844.0509033
02446,BROOKLINE,NON UNIQUE,BROOKLINE,09210,"BROOKLINE, TOWN OF",NORFOLK,1.32643741,3439004.9215,8358.33048456
02110,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.20934213,459905.392549,7325.42402863
02020,BRANT ROCK,PO BOX,BRANT ROCK,07840,"MARSHFIELD, TOWN OF",PLYMOUTH,0.19287635,499547.447552,3798.95328505
02108,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.18992141,418772.058831,6423.12648947
01224,BERKSHIRE,NON UNIQUE,BERKSHIRE,05315,"LANESBOROUGH, TOWN OF",BERKSHIRE,0.18532068,479978.354238,3690.27297862
02109,BOSTON,NON UNIQUE,BOSTON,07000,BOSTON,SUFFOLK,0.1757244,506337.25072,9828.34922645
01745,FAYVILLE,NON UNIQUE,FAYVILLE,23420,"SOUTHBOROUGH, TOWN OF",WORCESTER,0.16674924,431878.550516,3201.58809812
02350,MONPONSETT,PO BOX,MONPONSETT,42005,"HANSON, TOWN OF",PLYMOUTH,0.16547078,428567.344005,4208.50677127
02763,ATTLEBORO FALLS,NON UNIQUE,ATTLEBORO FALLS,02725,"NORTH ATTLEBOROUGH, TOWN OF",BRISTOL,1.32583836,3433905.59623,12610.9847393
